497,2,369,230.258509299
389,1,20,32.7190183705
510,0,589,88.3427799844
253,1,862,230.258509299
346,0,455,94.9344537164
494,0,87,35.6093901284
5,2,886,29.8286466126
66,1,222,19.5356709064
15,2,896,151.774610655
232,2,11,19.9411360146
26,2,907,19.9411360146
268,1,497,22.8315077724
219,1,891,29.4231815045
316,0,822,230.258509299
106,0,906,230.258509299
397,1,28,59.0857132985
495,0,88,38.9052269944
111,0,116,193.809559697
148,0,890,206.992907161
203,1,875,36.0148552365
556,0,938,230.258509299
457,2,723,230.258509299
150,1,115,22.8315077724
257,1,486,62.3815501645
144,1,109,36.0148552365
293,1,522,22.8315077724
279,1,508,19.5356709064
436,2,626,230.258509299
502,0,581,111.413638046
179,0,978,19.1302057983
608,2,151,46.3078309426
205,1,877,32.7190183705
292,2,711,230.258509299
423,2,109,204.508000511
35,2,916,36.4203203446
241,1,26,230.258509299
18,2,899,151.774610655
398,1,29,55.7898764325
372,1,3,26.1273446385
575,2,118,19.9411360146
496,0,748,111.413638046
55,1,211,32.7190183705
267,0,83,230.258509299
607,2,150,197.916326779
136,0,335,230.258509299
406,1,37,75.5648976285
59,1,215,171.144166743
33,2,914,29.8286466126
514,0,592,19.1302057983
581,2,124,23.2369728806
272,2,260,230.258509299
84,2,334,26.5328097466
43,1,199,68.9732238965
157,1,122,26.1273446385
546,0,624,29.0177163963
89,2,339,23.2369728806
589,2,132,19.9411360146
505,0,583,19.1302057983
243,2,22,36.4203203446
188,0,987,22.4260426643
367,0,475,35.6093901284
415,0,8,25.7218795303
488,2,174,188.028816181
72,1,834,230.258509299
343,0,452,91.6386168504
407,0,0,38.9052269944
580,2,123,19.9411360146
533,0,613,190.513722831
435,1,740,230.258509299
222,0,131,187.217885965
303,1,268,230.258509299
277,1,506,19.5356709064
606,2,149,197.916326779
40,0,309,230.258509299
530,0,610,187.217885965
79,2,329,36.4203203446
93,2,502,230.258509299
524,0,603,58.6802481904
542,0,620,19.1302057983
221,2,0,36.4203203446
507,0,747,230.258509299
87,0,23,230.258509299
591,2,134,23.2369728806
200,2,667,230.258509299
344,0,3,203.697070295
105,1,444,230.258509299
566,2,109,33.1244834786
470,0,64,58.6802481904
73,1,229,19.5356709064
23,1,942,230.258509299
543,0,621,19.1302057983
347,0,456,94.9344537164
315,0,424,25.7218795303
58,1,214,36.0148552365
83,1,632,230.258509299
230,2,9,19.9411360146
101,2,351,19.9411360146
499,0,577,32.3135532624
138,0,880,200.401233429
329,2,655,230.258509299
403,1,34,68.9732238965
151,1,116,19.5356709064
577,2,120,26.5328097466
337,0,445,19.1302057983
158,0,422,230.258509299
421,0,14,25.7218795303
350,0,459,101.526127448
274,1,503,32.7190183705
53,1,209,174.440003609
76,1,232,177.735840475
160,1,125,36.0148552365
368,0,476,38.9052269944
234,2,13,19.9411360146
463,1,115,230.258509299
429,0,23,42.2010638604
340,1,503,204.102535403
345,0,453,19.1302057983
239,2,18,26.5328097466
50,2,233,230.258509299
47,1,203,55.7898764325
237,2,16,23.2369728806
412,0,5,32.3135532624
371,1,47,230.258509299
374,1,5,19.5356709064
27,2,908,29.8286466126
54,1,209,230.258509299
411,1,495,230.258509299
284,1,513,19.5356709064
563,2,106,56.1953415406
333,0,441,19.1302057983
424,2,110,204.508000511
393,1,24,42.6065289685
319,0,427,22.4260426643
96,2,346,181.437142449
561,2,543,230.258509299
405,1,36,75.5648976285
212,1,884,19.5356709064
135,1,100,59.0857132985
256,1,485,19.5356709064
31,1,692,230.258509299
490,0,83,25.7218795303
298,0,208,230.258509299
190,0,990,81.7511062524
182,0,982,78.4552693864
57,1,213,36.0148552365
573,2,116,23.2369728806
80,2,330,26.5328097466
512,2,269,230.258509299
354,0,462,19.1302057983
596,2,139,19.9411360146
487,0,81,108.11780118
128,2,378,36.4203203446
110,2,360,19.9411360146
513,0,592,81.7511062524
528,0,606,19.1302057983
386,1,17,32.7190183705
62,1,218,32.7190183705
498,0,576,32.3135532624
209,1,881,108.523266289
248,2,27,49.6036678086
430,0,25,203.697070295
598,2,141,194.620489913
254,1,483,22.8315077724
382,1,13,19.5356709064
321,0,430,45.4969007264
255,1,890,230.258509299
585,2,128,19.9411360146
169,0,968,35.6093901284
163,1,128,39.3106921025
338,0,285,230.258509299
11,2,892,19.9411360146
213,1,885,101.931592557
175,0,974,25.7218795303
567,2,110,184.732979315
579,2,122,19.9411360146
466,0,25,230.258509299
432,0,25,25.7218795303
97,2,347,19.9411360146
317,1,480,197.510861671
302,0,411,29.0177163963
503,0,756,197.105396563
468,0,61,19.1302057983
24,2,905,19.9411360146
574,2,117,33.1244834786
271,1,500,19.5356709064
504,0,583,104.821964314
184,0,984,78.4552693864
201,2,542,230.258509299
131,2,381,46.3078309426
130,0,724,230.258509299
81,2,331,26.5328097466
42,2,923,56.1953415406
187,0,986,22.4260426643
492,1,331,230.258509299
480,0,74,85.0469431184
410,0,3,35.6093901284
438,0,31,25.7218795303
278,1,507,26.1273446385
401,1,32,62.3815501645
360,2,629,230.258509299
485,0,78,19.1302057983
471,0,208,230.258509299
473,0,67,65.2719219224
335,0,443,19.1302057983
177,0,976,19.1302057983
391,1,22,42.6065289685
113,2,363,19.9411360146
358,0,466,19.1302057983
420,0,13,25.7218795303
199,1,877,230.258509299
355,0,464,108.11780118
568,2,454,230.258509299
149,1,114,32.7190183705
286,1,515,19.5356709064
36,2,917,36.4203203446
422,0,500,230.258509299
259,1,488,19.5356709064
194,1,159,115.114940021
357,0,824,230.258509299
214,1,886,98.6357556905
140,1,105,55.7898764325
236,0,134,230.258509299
456,0,50,19.1302057983
