497,0,937,32.3135532624
389,1,321,26.1273446385
510,0,950,29.0177163963
253,0,646,19.1302057983
346,0,886,25.7218795303
494,0,934,42.2010638604
5,0,8,19.1302057983
66,2,599,26.5328097466
15,0,18,19.1302057983
232,1,108,32.7190183705
26,0,29,19.1302057983
268,0,661,22.4260426643
219,0,215,22.4260426643
316,0,760,19.1302057983
106,2,582,23.2369728806
397,2,815,19.9411360146
495,0,976,25.7218795303
111,1,637,22.8315077724
148,2,5,19.9411360146
203,0,199,19.1302057983
556,1,767,19.5356709064
457,1,397,22.8315077724
150,2,7,19.9411360146
257,0,414,19.1302057983
144,2,1,19.9411360146
293,0,737,19.1302057983
279,0,672,22.4260426643
436,1,368,26.1273446385
502,0,942,25.7218795303
179,2,140,19.9411360146
608,0,335,19.1302057983
205,0,201,19.1302057983
292,0,695,19.1302057983
423,2,726,33.1244834786
35,0,63,19.1302057983
241,1,119,19.5356709064
18,0,46,19.1302057983
398,2,812,23.2369728806
372,1,311,72.2690607625
575,0,296,42.2010638604
496,0,914,38.9052269944
55,0,83,19.1302057983
267,0,670,25.7218795303
607,0,334,19.1302057983
136,2,247,19.9411360146
406,2,820,19.9411360146
59,0,87,25.7218795303
33,0,61,19.1302057983
514,1,508,55.7898764325
581,0,302,45.4969007264
272,0,665,19.1302057983
84,2,630,23.2369728806
43,0,65,19.1302057983
157,2,14,19.9411360146
546,1,727,36.0148552365
89,2,389,19.9411360146
589,0,310,25.7218795303
505,0,945,19.1302057983
243,1,135,52.4940395665
188,0,184,19.1302057983
367,1,297,95.3399188245
415,2,718,19.9411360146
488,1,420,36.0148552365
72,2,480,19.9411360146
343,0,842,22.4260426643
407,2,825,19.9411360146
580,0,307,22.4260426643
533,1,481,75.5648976285
435,1,367,26.1273446385
222,0,218,29.0177163963
303,0,706,19.1302057983
277,0,670,22.4260426643
606,0,333,19.1302057983
40,0,62,19.1302057983
530,1,740,19.5356709064
79,2,480,23.2369728806
93,2,588,19.9411360146
524,1,429,49.1982027005
542,1,723,39.3106921025
221,0,217,25.7218795303
507,0,925,22.4260426643
87,2,620,26.5328097466
591,0,318,19.1302057983
200,0,196,19.1302057983
344,0,761,61.9760850564
105,2,492,29.8286466126
566,1,776,22.8315077724
470,1,409,19.5356709064
73,2,474,19.9411360146
23,0,45,75.1594325204
543,1,724,36.0148552365
347,0,846,29.0177163963
315,0,718,19.1302057983
58,0,86,25.7218795303
83,2,491,23.2369728806
230,0,226,45.4969007264
101,2,577,26.5328097466
499,0,980,29.0177163963
138,2,249,26.5328097466
329,0,732,38.9052269944
403,2,817,19.9411360146
151,2,8,19.9411360146
577,0,304,25.7218795303
337,0,836,19.1302057983
158,2,15,19.9411360146
421,1,353,26.1273446385
350,0,890,35.6093901284
274,0,425,19.1302057983
53,0,81,19.1302057983
76,2,480,19.9411360146
160,2,17,19.9411360146
368,0,898,61.9760850564
234,1,110,36.0148552365
463,1,395,26.1273446385
429,2,728,56.1953415406
340,0,880,25.7218795303
345,0,844,22.4260426643
239,1,115,39.3106921025
50,0,72,19.1302057983
47,0,69,19.1302057983
237,1,129,42.6065289685
412,2,715,23.2369728806
