497,0,989,497
389,0,320,389
510,0,1795,510
253,0,195,253
346,0,506,346
494,0,934,494
5,0,1309,5
66,0,2271,66
15,0,1417,15
232,0,174,232
26,0,1428,26
268,0,210,268
219,0,161,219
316,0,751,316
106,0,12,106
397,0,328,397
495,0,943,495
111,0,17,111
421,0,352,421
203,0,145,203
556,0,1228,556
457,0,388,457
150,0,56,150
257,0,199,257
144,0,50,144
293,0,728,293
279,0,645,279
436,0,367,436
502,0,1787,502
179,0,1646,179
608,0,1517,608
205,0,147,205
292,0,727,292
423,0,354,423
35,0,1439,35
241,0,183,241
18,0,1420,18
398,0,329,398
372,0,532,372
575,0,1204,575
496,0,988,496
55,0,2257,55
267,0,209,267
607,0,1516,607
136,0,42,136
569,0,1197,569
17,0,1364,17
33,0,1437,33
514,0,1799,514
473,0,404,473
419,0,350,419
84,0,2281,84
43,0,2260,43
157,0,1624,157
91,0,2296,91
282,0,717,282
89,0,2294,89
589,0,1486,589
505,0,1833,505
243,0,185,243
188,0,2422,188
367,0,585,367
415,0,346,415
192,0,1686,192
72,0,2277,72
343,0,503,343
407,0,338,407
580,0,1532,580
533,0,1205,533
435,0,366,435
576,0,1248,576
303,0,738,303
277,0,219,277
104,0,10,104
40,0,1387,40
530,0,2007,530
380,0,540,380
93,0,2295,93
376,0,536,376
542,0,1170,542
221,0,163,221
507,0,1835,507
87,0,2289,87
591,0,1499,591
200,0,1667,200
344,0,562,344
105,0,11,105
566,0,1194,566
73,0,2218,73
23,0,1425,23
543,0,1171,543
347,0,565,347
315,0,750,315
58,0,2260,58
83,0,2285,83
230,0,172,230
101,0,7,101
499,0,939,499
138,0,44,138
329,0,547,329
403,0,334,403
151,0,57,151
577,0,1205,577
337,0,497,337
158,0,1695,158
350,0,510,350
416,0,347,416
53,0,2258,53
76,0,2221,76
160,0,1697,160
368,0,586,368
234,0,176,234
463,0,394,463
429,0,360,429
340,0,558,340
239,0,181,239
50,0,2267,50
47,0,2264,47
237,0,179,237
440,0,371,440
371,0,531,371
374,0,592,374
581,0,1533,581
54,0,2271,54
524,0,1196,524
284,0,719,284
563,0,1192,563
333,0,493,333
424,0,355,424
393,0,324,393
102,0,8,102
96,0,2,96
561,0,1190,561
405,0,336,405
212,0,154,212
135,0,41,135
256,0,198,256
31,0,1435,31
490,0,938,490
298,0,733,298
190,0,1657,190
182,0,2537,182
57,0,2262,57
573,0,1202,573
80,0,2225,80
148,0,54,148
354,0,572,354
596,0,1548,596
487,0,979,487
128,0,34,128
110,0,16,110
513,0,1841,513
528,0,1131,528
386,0,317,386
62,0,2267,62
498,0,990,498
209,0,151,209
248,0,190,248
430,0,361,430
411,0,342,411
254,0,196,254
382,0,600,382
321,0,756,321
255,0,197,255
585,0,1482,585
169,0,1728,169
307,0,742,307
338,0,556,338
11,0,1358,11
213,0,155,213
175,0,1712,175
567,0,1196,567
579,0,1531,579
466,0,397,466
432,0,363,432
97,0,3,97
317,0,752,317
302,0,737,302
503,0,943,503
468,0,960,468
24,0,1428,24
574,0,1202,574
271,0,213,271
504,0,1832,504
184,0,2373,184
201,0,1738,201
131,0,37,131
130,0,36,130
459,0,390,459
222,0,164,222
187,0,1654,187
492,0,940,492
49,0,2266,49
480,0,928,480
410,0,341,410
438,0,369,438
278,0,713,278
377,0,537,377
360,0,520,360
485,0,933,485
471,0,402,471
322,0,757,322
335,0,495,335
177,0,1644,177
391,0,322,391
113,0,19,113
358,0,576,358
420,0,351,420
199,0,1666,199
355,0,515,355
568,0,1240,568
149,0,55,149
286,0,721,286
36,0,2253,36
422,0,353,422
259,0,201,259
194,0,1731,194
357,0,575,357
214,0,156,214
140,0,46,140
236,0,178,236
456,0,387,456
439,0,370,439
141,0,47,141
611,0,1520,611
299,0,734,299
323,0,758,323
319,0,754,319
245,0,187,245
208,0,150,208
32,0,1434,32
560,0,1232,560
244,0,186,244
600,0,1508,600
250,0,192,250
486,0,978,486
251,0,193,251
64,0,2269,64
156,0,1623,156
414,0,345,414
586,0,1538,586
60,0,2262,60
595,0,1547,595
461,0,392,461
240,0,182,240
134,0,40,134
525,0,1197,525
553,0,1182,553
285,0,720,285
538,0,1011,538
103,0,9,103
217,0,159,217
565,0,1237,565
304,0,739,304
531,0,2008,531
295,0,730,295
266,0,208,266
152,0,1619,152
467,0,959,467
594,0,1502,594
325,0,760,325
162,0,1629,162
123,0,29,123
228,0,170,228
86,0,2288,86
153,0,59,153
547,0,1219,547
361,0,579,361
52,0,2301,52
88,0,2233,88
82,0,2227,82
539,0,1167,539
491,0,939,491
114,0,20,114
70,0,2275,70
363,0,523,363
310,0,745,310
308,0,743,308
482,0,930,482
270,0,212,270
71,0,2273,71
470,0,401,470
512,0,1770,512
348,0,508,348
381,0,541,381
540,0,1212,540
351,0,569,351
506,0,1834,506
202,0,1739,202
493,0,985,493
578,0,1207,578
125,0,31,125
122,0,28,122
59,0,2261,59
312,0,747,312
225,0,167,225
334,0,494,334
477,0,917,477
276,0,218,276
599,0,1507,599
231,0,173,231
247,0,189,247
109,0,15,109
45,0,2262,45
19,0,1421,19
465,0,957,465
516,0,2019,516
280,0,715,280
223,0,165,223
16,0,1320,16
137,0,43,137
605,0,1557,605
520,0,1900,520
206,0,148,206
67,0,2316,67
431,0,362,431
197,0,1734,197
226,0,168,226
41,0,2258,41
557,0,1229,557
272,0,214,272
588,0,1540,588
115,0,21,115
434,0,365,434
235,0,177,235
168,0,1749,168
195,0,1732,195
227,0,169,227
394,0,325,394
159,0,1696,159
562,0,1190,562
198,0,2669,198
341,0,559,341
242,0,184,242
211,0,153,211
508,0,1766,508
554,0,1226,554
601,0,1498,601
92,0,2237,92
37,0,1384,37
483,0,923,483
181,0,2611,181
297,0,732,297
233,0,175,233
90,0,2295,90
447,0,378,447
330,0,490,330
327,0,487,327
362,0,522,362
400,0,331,400
85,0,2102,85
369,0,529,369
65,0,2210,65
409,0,340,409
479,0,919,479
146,0,52,146
402,0,333,402
546,0,1218,546
261,0,203,261
437,0,368,437
518,0,2091,518
305,0,740,305
408,0,339,408
336,0,496,336
178,0,1645,178
176,0,1757,176
527,0,1130,527
484,0,932,484
164,0,1701,164
469,0,961,469
163,0,1744,163
453,0,384,453
294,0,729,294
366,0,526,366
392,0,323,392
246,0,188,246
388,0,319,388
460,0,391,460
571,0,1200,571
27,0,1431,27
378,0,596,378
142,0,48,142
583,0,1535,583
196,0,1663,196
526,0,1129,526
207,0,149,207
433,0,364,433
28,0,1430,28
112,0,18,112
215,0,157,215
173,0,1710,173
425,0,356,425
9,0,1313,9
98,0,4,98
6,0,1353,6
42,0,2259,42
1,0,1403,1
458,0,389,458
4,0,1351,4
224,0,166,224
126,0,32,126
587,0,1539,587
139,0,45,139
290,0,725,290
454,0,385,454
133,0,39,133
517,0,1993,517
95,0,1,95
537,0,2110,537
413,0,344,413
406,0,337,406
356,0,574,356
180,0,2554,180
204,0,146,204
555,0,1183,555
291,0,726,291
313,0,748,313
606,0,1558,606
370,0,588,370
441,0,372,441
444,0,375,444
210,0,152,210
609,0,1517,609
592,0,1544,592
550,0,1222,550
274,0,216,274
260,0,202,260
320,0,755,320
275,0,217,275
118,0,24,118
121,0,27,121
390,0,321,390
445,0,376,445
119,0,25,119
263,0,205,263
21,0,1368,21
481,0,973,481
404,0,335,404
448,0,379,448
417,0,348,417
359,0,519,359
318,0,753,318
418,0,349,418
339,0,557,339
353,0,513,353
593,0,1545,593
25,0,1329,25
51,0,2268,51
