0	0	3
1	0	3
2	131067.154233	3
3	89339.6314364	3
4	61935.3317652	3
5	47635.5974468	3
6	38359.6218826	3
7	33729.3255995	3
8	29825.1191012	3
9	26901.3181277	3
10	25856.6964462	3
11	24461.4475456	3
12	23714.5089724	3
13	22425.8006187	3
14	21776.063175	3
15	21532.9821771	3
16	21413.5211197	3
17	21331.5306632	3
18	21228.9542553	3
19	21098.3892919	3
20	20899.8802658	3
21	20713.3381917	3
22	20655.2295235	3
23	20654.0131281	3
24	20654.0131281	3
25	20640.8297807	3
26	20640.8297807	3
27	20640.8297807	3
28	20640.8297807	3
